tileName,library_name,feature_id_x,source_x,capture_date_x,spectrum_x,project_row_x,project_col_x,priority,feature_id_y,source_y,capture_date_y,spectrum_y,project_row_y,project_col_y,gpc2_loaded,group
R5C2,1b78a368,5bf4ee8e526e6938e52f45531b78a368,WV02,9/20/2024,Pan Sharpened Natural Color,1,1,TRUE,5bf4ee8e526e6938e52f45531b78a368,WV02,9/20/2024,Pan Sharpened Natural Color,1,1,x,p1
R5C3,1b78a368,5bf4ee8e526e6938e52f45531b78a368,WV02,9/20/2024,Pan Sharpened Natural Color,1,1,TRUE,5bf4ee8e526e6938e52f45531b78a368,WV02,9/20/2024,Pan Sharpened Natural Color,1,1,x,p1
R19C2,1d1878ee,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,TRUE,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,x,p1
R19C3,1d1878ee,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,TRUE,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,x,p1
R19C4,1d1878ee,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,TRUE,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,x,p1
R20C1,1d1878ee,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,TRUE,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,x,p1
R20C2,1d1878ee,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,TRUE,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,x,p1
R20C3,1d1878ee,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,TRUE,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,x,p1
R20C4,1d1878ee,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,TRUE,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,x,p1
R17C1,1d710617,2a5dc02cd398a96338aadf991d710617,GE01,6/9/2024,Pan Sharpened Natural Color,1,2,TRUE,2a5dc02cd398a96338aadf991d710617,GE01,6/9/2024,Pan Sharpened Natural Color,1,2,x,p1
R18C1,1d710617,2a5dc02cd398a96338aadf991d710617,GE01,6/9/2024,Pan Sharpened Natural Color,1,2,TRUE,2a5dc02cd398a96338aadf991d710617,GE01,6/9/2024,Pan Sharpened Natural Color,1,2,x,p1
